0:0:0:0:0:0:0:1 - - [18/Sep/2016:15:43:01 +0800] "POST /project/Resource?action=add HTTP/1.1" 200 12678
0:0:0:0:0:0:0:1 - - [18/Sep/2016:15:43:14 +0800] "POST /project/Department?action=add HTTP/1.1" 200 12266
0:0:0:0:0:0:0:1 - - [18/Sep/2016:15:43:27 +0800] "POST /project/Department?action=add HTTP/1.1" 200 12736
0:0:0:0:0:0:0:1 - - [18/Sep/2016:15:43:31 +0800] "POST /project/Department?action=WBS HTTP/1.1" 200 7800
0:0:0:0:0:0:0:1 - - [18/Sep/2016:15:44:03 +0800] "POST /project/Task?action=add HTTP/1.1" 200 7428
0:0:0:0:0:0:0:1 - - [18/Sep/2016:15:44:13 +0800] "POST /project/Task?action=arrange HTTP/1.1" 200 7978
0:0:0:0:0:0:0:1 - - [18/Sep/2016:15:44:15 +0800] "POST /project/Task?action=listTask HTTP/1.1" 200 8291
0:0:0:0:0:0:0:1 - - [18/Sep/2016:15:44:34 +0800] "POST /project/Task?action=add HTTP/1.1" 200 7428
0:0:0:0:0:0:0:1 - - [18/Sep/2016:15:44:39 +0800] "POST /project/Task?action=arrange HTTP/1.1" 200 7977
0:0:0:0:0:0:0:1 - - [18/Sep/2016:15:44:41 +0800] "POST /project/Task?action=listTask HTTP/1.1" 200 8764
0:0:0:0:0:0:0:1 - - [18/Sep/2016:15:45:06 +0800] "POST /project/Task?action=add HTTP/1.1" 200 7428
0:0:0:0:0:0:0:1 - - [18/Sep/2016:15:45:11 +0800] "POST /project/Task?action=arrange HTTP/1.1" 200 7981
0:0:0:0:0:0:0:1 - - [18/Sep/2016:15:45:13 +0800] "POST /project/Task?action=listTask HTTP/1.1" 200 9236
0:0:0:0:0:0:0:1 - - [18/Sep/2016:15:45:18 +0800] "POST /project/Task?action=Gantt HTTP/1.1" 200 11795
0:0:0:0:0:0:0:1 - - [18/Sep/2016:15:45:18 +0800] "GET /project/css/Gstyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2016:15:45:19 +0800] "GET /project/js/jquery.fn.gantt.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2016:15:45:19 +0800] "GET /project/js/jquery.cookie.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2016:15:45:19 +0800] "GET /project/js/prettify.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2016:15:45:19 +0800] "GET /project/images/grid.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2016:15:45:19 +0800] "GET /project/images/slider_handle.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2016:15:45:19 +0800] "GET /project/images/icon_sprite.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2016:15:46:03 +0800] "GET /project/Task?action=show&id=33 HTTP/1.1" 200 7122
0:0:0:0:0:0:0:1 - - [18/Sep/2016:15:46:06 +0800] "POST /project/Task?action=edit&taskId=33 HTTP/1.1" 200 11795
0:0:0:0:0:0:0:1 - - [18/Sep/2016:15:46:09 +0800] "POST /project/Task?action=arrangeList HTTP/1.1" 200 6638
0:0:0:0:0:0:0:1 - - [18/Sep/2016:15:46:17 +0800] "POST /project/Task?action=remain HTTP/1.1" 200 7149
0:0:0:0:0:0:0:1 - - [18/Sep/2016:15:46:26 +0800] "POST /project/Work?action=finish HTTP/1.1" 200 7172
