127.0.0.1 - - [15/Sep/2016:09:51:07 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [15/Sep/2016:09:51:34 +0800] "GET /project/editTask.jsp HTTP/1.1" 200 5645
0:0:0:0:0:0:0:1 - - [15/Sep/2016:09:51:36 +0800] "GET /project/bootstrap/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:09:51:36 +0800] "GET /project/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:09:51:36 +0800] "GET /project/js/flatui-radio.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:09:51:36 +0800] "GET /project/js/jquery.placeholder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:09:51:36 +0800] "GET /project/css/flat-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:09:51:36 +0800] "GET /project/css/style.complete.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:09:51:36 +0800] "GET /project/js/flatui-checkbox.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:09:51:36 +0800] "GET /project/js/application.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:09:51:36 +0800] "GET /project/css/myStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:09:51:36 +0800] "GET /project/js/bootstrap-switch.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:09:51:36 +0800] "GET /project/js/jquery-ui-1.10.3.custom.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:09:51:36 +0800] "GET /project/js/jquery.nivo.slider.pack.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:09:51:36 +0800] "GET /project/js/jquery-1.8.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:09:51:36 +0800] "GET /project/js/jquery.tagsinput.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:09:51:36 +0800] "GET /project/js/over.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:09:51:36 +0800] "GET /project/js/jquery.ui.touch-punch.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:09:51:37 +0800] "GET /project/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:09:51:37 +0800] "GET /project/js/bootstrap-select.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:09:51:37 +0800] "GET /project/images/hexagon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:09:51:39 +0800] "GET /project/images/searchIcon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:09:51:39 +0800] "GET /project/images/brush.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:09:51:43 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [15/Sep/2016:09:52:43 +0800] "GET /project/User?action=logout HTTP/1.1" 200 13539
0:0:0:0:0:0:0:1 - - [15/Sep/2016:09:52:44 +0800] "GET /project/images/magic.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:09:52:44 +0800] "GET /project/images/idea.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:09:52:44 +0800] "GET /project/images/tag.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:09:52:44 +0800] "GET /project/images/star.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:09:52:44 +0800] "GET /project/images/plane.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:09:52:44 +0800] "GET /project/images/time.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:09:52:44 +0800] "GET /project/images/partner-logos/citibank.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:09:52:44 +0800] "GET /project/images/partner-logos/dell.png HTTP/1.1" 304 -
